slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
jurisdiction-route-selector,/tools/jurisdiction-route-selector/,tool,"England, Wales or Scotland Route Selector","England, Wales or Scotland Route Selector",Prevents users relying on the wrong jurisdiction guidance.,Prevents users relying on the wrong jurisdiction guidance.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
extension-building-regulations-checklist,/downloads/extension-building-regulations-checklist/,download,Extension building regulations checklist,Extension building regulations checklist,Printable HTML-first checklist: Extension building regulations checklist.,Printable HTML-first checklist: Extension building regulations checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
loft-conversion-building-regulations-checklist,/downloads/loft-conversion-building-regulations-checklist/,download,Loft conversion building regulations checklist,Loft conversion building regulations checklist,Printable HTML-first checklist: Loft conversion building regulations checklist.,Printable HTML-first checklist: Loft conversion building regulations checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
garage-conversion-building-regulations-checklist,/downloads/garage-conversion-building-regulations-checklist/,download,Garage conversion building regulations checklist,Garage conversion building regulations checklist,Printable HTML-first checklist: Garage conversion building regulations checklist.,Printable HTML-first checklist: Garage conversion building regulations checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
building-notice-vs-full-plans-worksheet,/downloads/building-notice-vs-full-plans-worksheet/,download,Building notice vs full plans worksheet,Building notice vs full plans worksheet,Printable HTML-first checklist: Building notice vs full plans worksheet.,Printable HTML-first checklist: Building notice vs full plans worksheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
completion-certificate-record-sheet,/downloads/completion-certificate-record-sheet/,download,Completion certificate record sheet,Completion certificate record sheet,Printable HTML-first checklist: Completion certificate record sheet.,Printable HTML-first checklist: Completion certificate record sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
competent-person-certificate-checklist,/downloads/competent-person-certificate-checklist/,download,Competent person certificate checklist,Competent person certificate checklist,Printable HTML-first checklist: Competent person certificate checklist.,Printable HTML-first checklist: Competent person certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
inspection-stage-record-sheet,/downloads/inspection-stage-record-sheet/,download,Inspection stage record sheet,Inspection stage record sheet,Printable HTML-first checklist: Inspection stage record sheet.,Printable HTML-first checklist: Inspection stage record sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
structural-calculations-briefing-sheet,/downloads/structural-calculations-briefing-sheet/,download,Structural calculations briefing sheet,Structural calculations briefing sheet,Printable HTML-first checklist: Structural calculations briefing sheet.,Printable HTML-first checklist: Structural calculations briefing sheet.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
drainage-and-waste-checklist,/downloads/drainage-and-waste-checklist/,download,Drainage and waste checklist,Drainage and waste checklist,Printable HTML-first checklist: Drainage and waste checklist.,Printable HTML-first checklist: Drainage and waste checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
windows-and-doors-certificate-checklist,/downloads/windows-and-doors-certificate-checklist/,download,Windows and doors certificate checklist,Windows and doors certificate checklist,Printable HTML-first checklist: Windows and doors certificate checklist.,Printable HTML-first checklist: Windows and doors certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
electrical-work-evidence-checklist,/downloads/electrical-work-evidence-checklist/,download,Electrical work evidence checklist,Electrical work evidence checklist,Printable HTML-first checklist: Electrical work evidence checklist.,Printable HTML-first checklist: Electrical work evidence checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
heating-boiler-certificate-checklist,/downloads/heating-boiler-certificate-checklist/,download,Heating and boiler certificate checklist,Heating and boiler certificate checklist,Printable HTML-first checklist: Heating and boiler certificate checklist.,Printable HTML-first checklist: Heating and boiler certificate checklist.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
regularisation-evidence-pack,/downloads/regularisation-evidence-pack/,download,Regularisation evidence pack,Regularisation evidence pack,Printable HTML-first checklist: Regularisation evidence pack.,Printable HTML-first checklist: Regularisation evidence pack.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-router-summary,/downloads/approved-document-router-summary/,download,Approved Document router summary,Approved Document router summary,Printable HTML-first checklist: Approved Document router summary.,Printable HTML-first checklist: Approved Document router summary.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
building-control-phone-call-script,/downloads/building-control-phone-call-script/,download,Building control phone call script,Building control phone call script,Printable HTML-first checklist: Building control phone call script.,Printable HTML-first checklist: Building control phone call script.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
builder-quote-building-regs-questions,/downloads/builder-quote-building-regs-questions/,download,Builder quote building regs questions,Builder quote building regs questions,Printable HTML-first checklist: Builder quote building regs questions.,Printable HTML-first checklist: Builder quote building regs questions.,England-first,govuk_building_regs_approval,download,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
